order_id,order_date,customer_id,product_id,category,amount,quantity,payment_method,city
1,09-07-2023,1336,700,Electronics,7692.27,9,Credit Card,Chennai
2,30-05-2023,3663,218,Electronics,5609.87,8,Net Banking,Hyderabad
3,04-10-2023,2654,421,Grocery,5981.82,1,Credit Card,Chennai
4,05-05-2023,1059,957,Books,1121.25,2,Net Banking,Chennai
5,03-06-2025,2121,896,Electronics,9243.99,1,Credit Card,Chennai
6,18-07-2023,4191,207,Clothing,7061.35,8,Debit Card,Chennai
7,24-02-2023,1163,322,Electronics,9316.93,9,Net Banking,Kolkata
8,30-08-2024,1426,404,Electronics,2503.94,2,UPI,Jaipur
9,19-01-2025,3450,349,Toys,4164,7,UPI,Hyderabad
10,22-04-2024,3195,711,Clothing,797.61,7,Net Banking,Pune
11,06-03-2023,1082,509,Electronics,9998.92,7,Debit Card,Kolkata
12,06-12-2023,1289,727,Home,9334.93,3,Net Banking,Kolkata
13,26-10-2024,4241,599,Clothing,5499.09,2,Net Banking,Pune
14,12-08-2025,1497,180,Clothing,5768.44,9,UPI,Lucknow
15,09-05-2023,1240,976,Home,9333.64,1,Debit Card,Mumbai
16,04-05-2025,3336,117,Books,4377.92,5,UPI,Kolkata
17,21-01-2025,4487,123,Books,7750.81,3,Cash,Ahmedabad
18,14-03-2024,2153,114,Clothing,6934.12,9,Cash,Mumbai
19,26-04-2023,3917,655,Grocery,4682.73,5,UPI,Bengaluru
20,24-08-2023,3484,226,Books,6146.71,5,Net Banking,Hyderabad
21,17-07-2023,2074,871,Home,602.59,8,UPI,Pune
22,13-11-2023,2013,634,Grocery,7100.5,7,Debit Card,Mumbai
23,31-03-2025,4863,687,Books,8150.96,1,Debit Card,Ahmedabad
24,04-05-2023,3006,221,Books,5656.92,5,UPI,Delhi
25,18-04-2024,3599,961,Clothing,5299.68,1,Cash,Kolkata
26,14-11-2023,4553,416,Grocery,7823.63,1,Net Banking,Hyderabad
27,14-05-2025,4175,441,Toys,3761.11,1,UPI,Lucknow
28,06-06-2024,3786,850,Books,9990.31,2,Credit Card,Jaipur
29,13-11-2023,3274,231,Books,5296.51,7,UPI,Jaipur
30,21-10-2023,3546,636,Toys,3011.71,9,UPI,Kolkata
31,19-01-2023,3717,712,Books,693.95,3,UPI,Jaipur
32,26-03-2023,4354,958,Electronics,692.54,6,Credit Card,Lucknow
33,10-05-2023,3820,878,Clothing,9655.73,1,Credit Card,Lucknow
34,12-03-2024,4022,570,Books,8548.25,9,Debit Card,Bengaluru
35,22-06-2025,3646,719,Grocery,4102.79,3,Cash,Ahmedabad
36,22-08-2025,1124,353,Home,8166.45,1,UPI,Delhi
37,27-03-2025,2351,183,Home,5315.94,1,Credit Card,Bengaluru
38,19-07-2024,1785,183,Grocery,3094.72,5,Credit Card,Mumbai
39,28-09-2025,1389,385,Toys,454.6,4,Debit Card,Hyderabad
40,19-01-2024,1536,343,Clothing,8041.78,8,Cash,Delhi
41,22-03-2023,3520,534,Grocery,7036.57,3,Net Banking,Hyderabad
42,15-05-2025,1517,380,Books,5741.15,1,Credit Card,Chennai
43,12-01-2025,1185,486,Grocery,6922.74,5,UPI,Bengaluru
44,12-09-2025,3045,287,Home,8087.3,2,Net Banking,Chennai
45,22-07-2023,4524,552,Electronics,5937.15,2,Debit Card,Jaipur
46,10-07-2025,3239,411,Electronics,7975.28,2,Net Banking,Delhi
47,19-04-2023,2984,436,Beauty,3779.78,8,Net Banking,Hyderabad
48,30-12-2023,2508,623,Books,6312.35,8,Debit Card,Ahmedabad
49,23-07-2024,4029,946,Toys,6728.83,3,Cash,Chennai
50,06-01-2025,3019,978,Toys,1000.42,3,Cash,Chennai
51,30-06-2024,4313,445,Grocery,4309.49,7,Credit Card,Ahmedabad
52,07-11-2024,2448,655,Electronics,8734.88,8,UPI,Jaipur
53,15-12-2023,1307,465,Books,3508.71,5,UPI,Bengaluru
54,09-02-2025,3682,359,Clothing,4536.94,8,Net Banking,Pune
55,06-02-2025,1357,271,Toys,6429.6,3,Debit Card,Kolkata
56,10-07-2025,3387,192,Beauty,7559.22,3,Net Banking,Chennai
57,16-03-2023,2647,504,Home,1466.61,9,Net Banking,Jaipur
58,08-05-2024,3855,970,Books,8817.96,9,Cash,Ahmedabad
59,12-04-2024,2754,754,Clothing,5876.8,5,Debit Card,Jaipur
60,31-12-2023,1862,305,Books,9911.91,5,Net Banking,Mumbai
61,17-03-2024,3872,495,Grocery,281.64,6,Credit Card,Lucknow
62,03-08-2025,3511,749,Toys,3927.54,7,Debit Card,Jaipur
